4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36936.0	1454.0	5438.0	5513.0	5210.0	5496.0	5855.0	4186.0	2882.0	625.0	277.0	36279.0	35.9
гостиницы и рестораны	7269.0	438.0	1111.0	783.0	806.0	828.0	1073.0	1094.0	848.0	202.0	86.0	6998.0	37.2
транспорт и связь	24917.0	304.0	2091.0	2794.0	3016.0	3475.0	4522.0	4218.0	3171.0	906.0	420.0	24294.0	39.9
финансовая деятельность	3646.0	16.0	267.0	521.0	486.0	518.0	614.0	646.0	413.0	117.0	48.0	3537.0	39.5
операции с недвижимым имуществом, аренда и предоставление услуг	11691.0	225.0	1318.0	1305.0	1322.0	1220.0	1976.0	1965.0	1487.0	565.0	308.0	11183.0	39.8
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	24684.0	354.0	2968.0	3795.0	3638.0	3500.0	4043.0	2962.0	2268.0	775.0	381.0	23899.0	37.5
образование	29521.0	400.0	2402.0	3291.0	3675.0	3978.0	4960.0	4546.0	3653.0	1514.0	1102.0	27328.0	40.5
здравоохранение и предоставление социальных услуг	24017.0	249.0	2127.0	2801.0	2941.0	3170.0	3961.0	3620.0	3068.0	1159.0	921.0	22180.0	40.4
предоставление прочих коммунальных, социальных и персональных услуг	12046.0	273.0	1161.0	1287.0	1244.0	1509.0	2086.0	1820.0	1551.0	709.0	406.0	11357.0	40.3
предоставление услуг по ведению домашнего хозяйства	76.0	4.0	20.0	8.0	4.0	4.0	8.0	20.0	4.0	-	4.0	72.0	36.4
деятельность экстерриториальных организаций	4.0	-	-	-	-	-	-	4.0	-	-	-	4.0	47.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	1945.0	38.0	215.0	241.0	235.0	201.0	351.0	328.0	232.0	56.0	48.0	1885.0	39.2
Курская область													
Все население в возрасте 15-64 лет, занятое в экономике	477108.0	7702.0	45248.0	59226.0	58922.0	65843.0	83900.0	75089.0	56374.0	17296.0	7508.0	462700.0	39.2
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	71733.0	1433.0	4788.0	7161.0	8410.0	10914.0	14044.0	12285.0	9029.0	2805.0	864.0	70310.0	40.2
