4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
операторы, аппаратчики, машинисты установок и машин	387251.0	5795.0	33598.0	43483.0	47020.0	51689.0	68832.0	61137.0	45271.0	18592.0	11834.0	370358.0	40.1
неквалифицированные рабочие	238567.0	8749.0	21183.0	22034.0	22070.0	25883.0	35249.0	36117.0	33593.0	15203.0	18486.0	209561.0	41.6
занятые на военной службе	57168.0	325.0	7291.0	8710.0	8994.0	10742.0	11458.0	6439.0	2211.0	610.0	388.0	56558.0	36.3
лица, неточно указавшие или не указавшие  занятия 	159079.0	4385.0	15653.0	19214.0	18733.0	20190.0	24792.0	23433.0	18307.0	8086.0	6286.0	148950.0	39.7
Орловская область													
Все население в возрасте 15-64 лет, занятое в экономике 	343744.0	4913.0	32121.0	42600.0	42304.0	45982.0	57937.0	55264.0	43044.0	13281.0	6298.0	331800.0	39.5
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	39561.0	92.0	1550.0	3670.0	4528.0	5362.0	7246.0	7417.0	6227.0	2345.0	1124.0	37555.0	42.4
специалисты высшего уровня квалификации	50203.0	264.0	4481.0	7396.0	6356.0	6833.0	7769.0	7315.0	6085.0	2377.0	1327.0	47294.0	39.6
специалисты среднего уровня квалификации	41809.0	430.0	4559.0	5842.0	5848.0	5680.0	6406.0	6011.0	4968.0	1444.0	621.0	40300.0	38.6
