7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образования	Не указавшие уровень образования
строительство	39798.0	6899.0	957.0	11140.0	4956.0	12192.0	2979.0	636.0	39.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	60833.0	10917.0	1999.0	16686.0	5001.0	20524.0	4647.0	1006.0	52.0	1.0
гостиницы и рестораны	9632.0	1489.0	272.0	2909.0	960.0	3084.0	775.0	137.0	6.0	-
транспорт и связь	54895.0	8025.0	1633.0	16540.0	7644.0	16233.0	4051.0	763.0	6.0	-
финансовая деятельность	7003.0	3993.0	301.0	1692.0	269.0	656.0	83.0	9.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	20942.0	5428.0	727.0	5929.0	1975.0	4926.0	1558.0	367.0	32.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	48080.0	20759.0	2872.0	12004.0	2821.0	8499.0	873.0	243.0	9.0	-
образование	104824.0	57652.0	5372.0	24095.0	3338.0	11105.0	2532.0	703.0	26.0	1.0
здравоохранение и предоставление социальных услуг	58807.0	19367.0	1403.0	25659.0	2690.0	7162.0	1929.0	554.0	42.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	16873.0	3857.0	610.0	5566.0	1401.0	4249.0	950.0	235.0	5.0	-
предоставление услуг по ведению домашнего хозяйства	104.0	19.0	-	34.0	5.0	31.0	6.0	9.0	-	-
деятельность экстерриториальных организаций	40.0	14.0	5.0	5.0	-	5.0	11.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3711.0	741.0	141.0	869.0	357.0	1201.0	267.0	128.0	7.0	-
Республика Ингушетия										
Все население, занятое в экономике	39965.0	13300.0	2339.0	8818.0	4958.0	7649.0	1939.0	798.0	129.0	35.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	1883.0	352.0	68.0	417.0	324.0	426.0	201.0	75.0	17.0	3.0
рыболовство, рыбоводство	2.0	1.0	-	-	1.0	-	-	-	-	-
добыча полезных ископаемых	1015.0	228.0	46.0	258.0	142.0	219.0	75.0	36.0	9.0	2.0
обрабатывающие производства	1742.0	368.0	80.0	435.0	283.0	402.0	128.0	40.0	5.0	1.0
производство и распределение электроэнергии, газа и воды	345.0	82.0	14.0	64.0	63.0	79.0	33.0	10.0	-	-
строительство	3188.0	697.0	158.0	643.0	491.0	838.0	269.0	79.0	12.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2753.0	451.0	118.0	710.0	400.0	777.0	187.0	88.0	17.0	5.0
гостиницы и рестораны	593.0	94.0	22.0	151.0	97.0	153.0	44.0	29.0	3.0	-
транспорт и связь	4210.0	682.0	206.0	1036.0	757.0	1112.0	271.0	134.0	11.0	1.0
финансовая деятельность	725.0	440.0	60.0	119.0	46.0	48.0	5.0	5.0	1.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	308.0	137.0	20.0	41.0	25.0	61.0	14.0	7.0	3.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	7511.0	2850.0	614.0	1312.0	798.0	1595.0	247.0	81.0	11.0	3.0
образование	7922.0	4362.0	539.0	1330.0	648.0	808.0	149.0	68.0	10.0	8.0
здравоохранение и предоставление социальных услуг	5205.0	1808.0	233.0	1744.0	588.0	566.0	169.0	74.0	15.0	8.0
предоставление прочих коммунальных, социальных и персональных услуг	1839.0	558.0	111.0	400.0	216.0	393.0	103.0	47.0	10.0	1.0
предоставление услуг по ведению домашнего хозяйства	18.0	6.0	1.0	4.0	3.0	1.0	2.0	1.0	-	-
деятельность экстерриториальных организаций	16.0	6.0	2.0	2.0	3.0	3.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	690.0	178.0	47.0	152.0	73.0	168.0	42.0	24.0	5.0	1.0
Кабардино–Балкарская Республика										
Все население, занятое в экономике	282515.0	79595.0	8105.0	101655.0	33873.0	44477.0	12721.0	1921.0	164.0	4.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	28720.0	3833.0	408.0	8162.0	5623.0	6631.0	3477.0	556.0	30.0	-
рыболовство, рыбоводство	176.0	28.0	-	68.0	37.0	41.0	2.0	-	-	-
добыча полезных ископаемых	1926.0	309.0	53.0	660.0	326.0	453.0	115.0	10.0	-	-
обрабатывающие производства	40719.0	7991.0	1019.0	14344.0	5976.0	8721.0	2326.0	321.0	21.0	-
производство и распределение электроэнергии, газа и воды	6744.0	1289.0	183.0	2623.0	1188.0	1163.0	257.0	41.0	-	-
строительство	18951.0	3587.0	369.0	7163.0	3343.0	3250.0	1042.0	176.0	21.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36384.0	7404.0	1218.0	14751.0	4329.0	6928.0	1496.0	198.0	59.0	1.0
гостиницы и рестораны	7236.0	1004.0	193.0	3279.0	993.0	1431.0	286.0	50.0	-	-
транспорт и связь	25749.0	4178.0	635.0	10741.0	4181.0	4927.0	974.0	112.0	-	1.0
финансовая деятельность	3239.0	2109.0	140.0	708.0	125.0	149.0	8.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	9117.0	3217.0	309.0	2959.0	954.0	1248.0	378.0	52.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	23840.0	12022.0	1184.0	6537.0	1513.0	2303.0	262.0	19.0	-	-
образование	40977.0	21288.0	1511.0	12120.0	2016.0	3039.0	807.0	183.0	12.0	1.0
здравоохранение и предоставление социальных услуг	27767.0	8406.0	450.0	13809.0	1988.0	2338.0	630.0	129.0	16.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	10402.0	2751.0	409.0	3554.0	1220.0	1766.0	623.0	74.0	5.0	-
предоставление услуг по ведению домашнего хозяйства	132.0	14.0	5.0	39.0	24.0	41.0	9.0	-	-	-
деятельность экстерриториальных организаций	5.0	5.0	-	-	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	431.0	160.0	19.0	138.0	37.0	48.0	29.0	-	-	-
Республика Калмыкия										
Все население, занятое в экономике	97282.0	24360.0	2866.0	34108.0	10353.0	18949.0	5519.0	1046.0	73.0	8.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	18520.0	1669.0	258.0	3894.0	3097.0	6078.0	2779.0	698.0	46.0	1.0
рыболовство, рыбоводство	676.0	72.0	10.0	175.0	145.0	202.0	61.0	10.0	1.0	-
добыча полезных ископаемых	1147.0	253.0	31.0	412.0	143.0	262.0	38.0	7.0	1.0	-
обрабатывающие производства	4149.0	779.0	137.0	1578.0	541.0	857.0	233.0	22.0	2.0	-
производство и распределение электроэнергии, газа и воды	3263.0	537.0	78.0	1267.0	443.0	769.0	144.0	24.0	1.0	-
строительство	5562.0	887.0	137.0	2050.0	812.0	1263.0	374.0	38.0	1.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	9642.0	1698.0	325.0	4371.0	1020.0	1817.0	357.0	45.0	7.0	2.0
гостиницы и рестораны	2272.0	216.0	68.0	1017.0	362.0	482.0	111.0	12.0	2.0	2.0
транспорт и связь	6947.0	840.0	173.0	2820.0	951.0	1733.0	385.0	43.0	1.0	1.0
финансовая деятельность	1067.0	664.0	49.0	238.0	29.0	77.0	9.0	1.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	3307.0	946.0	108.0	1196.0	325.0	588.0	123.0	20.0	1.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	11479.0	5374.0	575.0	3258.0	602.0	1531.0	118.0	19.0	1.0	1.0
образование	14582.0	6863.0	521.0	4594.0	764.0	1446.0	338.0	50.0	6.0	-
здравоохранение и предоставление социальных услуг	10088.0	2359.0	180.0	5460.0	690.0	1069.0	294.0	33.0	3.0	-
предоставление прочих коммунальных, социальных и персональных услуг	4475.0	1172.0	214.0	1752.0	415.0	746.0	151.0	24.0	-	1.0
предоставление услуг по ведению домашнего хозяйства	11.0	3.0	-	1.0	2.0	5.0	-	-	-	-
деятельность экстерриториальных организаций	1.0	1.0	-	-	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	94.0	27.0	2.0	25.0	12.0	24.0	4.0	-	-	-
