5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
гостиницы и рестораны	199769.0	5363.0	1933.0	71465.0	57779.0	43204.0	18085.0	1832.0	50.0	58.0
транспорт и связь	272850.0	18299.0	4215.0	113372.0	55753.0	59841.0	19482.0	1760.0	50.0	78.0
финансовая деятельность	70381.0	20391.0	2965.0	33077.0	6094.0	6715.0	1034.0	78.0	1.0	26.0
операции с недвижимым имуществом, аренда и предоставление услуг	112266.0	21823.0	2902.0	44904.0	16529.0	18592.0	6533.0	903.0	34.0	46.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	314639.0	80530.0	12071.0	142875.0	30004.0	40291.0	7798.0	957.0	51.0	62.0
образование	1174594.0	441202.0	36861.0	397690.0	116583.0	127388.0	49291.0	5172.0	162.0	245.0
здравоохранение и предоставление социальных услуг	771995.0	72996.0	8408.0	433964.0	106591.0	100165.0	44369.0	5155.0	158.0	189.0
предоставление прочих коммунальных, социальных и персональных услуг	276741.0	31252.0	5898.0	124604.0	45329.0	49351.0	18099.0	2057.0	65.0	86.0
предоставление услуг по ведению домашнего хозяйства	1801.0	154.0	54.0	600.0	300.0	389.0	271.0	33.0	-	-
деятельность экстерриториальных организаций	489.0	114.0	19.0	207.0	63.0	72.0	12.0	2.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	49827.0	7973.0	1372.0	19799.0	6998.0	9282.0	3662.0	538.0	52.0	151.0
