12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
20-29	85683.0	114592.0	56943.0	23629.0	2395.0	505.0	1982.0	4601.0	1016.0	1690.0	133.0	53.0	20282.0	1363.0	22.0	58439.0	25565.0	1605.0	52.0
30-49	219596.0	309755.0	169069.0	93424.0	20.0	3867.0	9037.0	3463.0	3459.0	2103.0	467.0	249.0	20169.0	4428.0	57.0	131992.0	84932.0	2564.0	51.0
50-54	38711.0	57160.0	25566.0	16922.0	-	6849.0	3499.0	158.0	668.0	254.0	70.0	50.0	2469.0	655.0	18.0	21303.0	16327.0	1049.0	14.0
55-59	15858.0	24703.0	6154.0	6968.0	-	9394.0	1336.0	34.0	90.0	80.0	24.0	25.0	450.0	148.0	8.0	7700.0	7453.0	692.0	5.0
60-64	25779.0	40093.0	1965.0	12232.0	-	24524.0	1021.0	33.0	-	150.0	40.0	38.0	53.0	37.0	2.0	12025.0	13192.0	556.0	4.0
65 и более	62017.0	91668.0	784.0	27683.0	-	59874.0	2167.0	59.0	-	585.0	103.0	60.0	323.0	30.0	4.0	32774.0	28828.0	407.0	4.0
возраст не указан	37.0	48.0	12.0	10.0	4.0	13.0	1.0	-	-	2.0	-	-	6.0	-	3.0	21.0	12.0	1.0	-
Немцы	597212.0	839565.0	276070.0	145310.0	11959.0	134956.0	18045.0	67596.0	4581.0	6511.0	1672.0	1611.0	164015.0	7239.0	246.0	370797.0	210211.0	15494.0	464.0
в том числе в возрасте, лет:																			
до 15	76023.0	128914.0	2.0	2937.0	45.0	1558.0	964.0	49013.0	-	579.0	7.0	46.0	73622.0	141.0	34.0	26880.0	45394.0	3614.0	101.0
15-19	50548.0	76479.0	7349.0	6123.0	8597.0	1448.0	823.0	10102.0	224.0	757.0	35.0	19.0	40697.0	305.0	19.0	28213.0	18827.0	3346.0	143.0
20-29	104467.0	133786.0	70007.0	20543.0	3290.0	382.0	1676.0	5397.0	1165.0	2481.0	334.0	128.0	26522.0	1861.0	51.0	77058.0	25424.0	1859.0	75.0
30-49	186617.0	251282.0	147488.0	62524.0	27.0	4017.0	7044.0	2420.0	2389.0	1792.0	745.0	719.0	18314.0	3803.0	76.0	124427.0	59544.0	2513.0	57.0
50-54	52791.0	73721.0	37584.0	16301.0	-	10127.0	3633.0	230.0	741.0	262.0	189.0	192.0	3656.0	806.0	23.0	33365.0	17885.0	1488.0	30.0
55-59	14122.0	20817.0	6738.0	3928.0	-	8438.0	948.0	35.0	62.0	56.0	46.0	64.0	347.0	155.0	10.0	8054.0	5421.0	627.0	10.0
60-64	33282.0	49233.0	4701.0	11203.0	-	31654.0	1006.0	99.0	-	145.0	83.0	128.0	142.0	72.0	7.0	18480.0	13656.0	1116.0	23.0
65 и более	79324.0	105302.0	2179.0	21750.0	-	77329.0	1951.0	300.0	-	438.0	233.0	315.0	711.0	96.0	17.0	54293.0	24058.0	931.0	25.0
возраст не указан	38.0	31.0	22.0	1.0	-	3.0	-	-	-	1.0	-	-	4.0	-	9.0	27.0	2.0	-	-
Кабардинцы	519958.0	804189.0	153315.0	116679.0	23341.0	66376.0	13592.0	153623.0	3542.0	2973.0	1197.0	587.0	266777.0	2187.0	35.0	250499.0	254856.0	14295.0	273.0
в том числе в возрасте, лет:																			
до 15	127472.0	252731.0	1.0	1192.0	21.0	1881.0	913.0	122450.0	-	682.0	7.0	149.0	125365.0	70.0	2.0	5768.0	118218.0	3409.0	75.0
15-19	55381.0	96794.0	3261.0	7207.0	14735.0	937.0	622.0	19416.0	136.0	429.0	17.0	22.0	49929.0	83.0	2.0	17922.0	33605.0	3746.0	106.0
20-29	90418.0	124962.0	38990.0	23251.0	8528.0	210.0	1118.0	6894.0	964.0	815.0	176.0	86.0	43441.0	489.0	10.0	58690.0	28922.0	2756.0	40.0
30-49	154837.0	200524.0	88170.0	54160.0	57.0	1606.0	5284.0	4680.0	2227.0	911.0	774.0	231.0	41124.0	1300.0	15.0	111402.0	41172.0	2215.0	33.0
50-54	21559.0	27388.0	12385.0	6664.0	-	2049.0	1650.0	61.0	192.0	39.0	118.0	26.0	4050.0	154.0	2.0	16033.0	5219.0	303.0	2.0
55-59	12808.0	17807.0	5138.0	3826.0	-	6543.0	1075.0	37.0	23.0	21.0	40.0	22.0	1038.0	44.0	1.0	8175.0	4268.0	360.0	4.0
60-64	21745.0	32550.0	3681.0	7525.0	-	19412.0	1202.0	26.0	-	29.0	25.0	23.0	603.0	24.0	-	11775.0	9141.0	823.0	6.0
65 и более	35730.0	51428.0	1685.0	12854.0	-	33737.0	1728.0	59.0	-	47.0	40.0	28.0	1227.0	23.0	-	20729.0	14311.0	683.0	7.0
возраст не указан	8.0	5.0	4.0	-	-	1.0	-	-	-	-	-	-	-	-	3.0	5.0	-	-	-
Осетины	514875.0	715054.0	153608.0	76325.0	20917.0	101985.0	16812.0	98764.0	3229.0	4485.0	2396.0	807.0	230402.0	5324.0	753.0	319909.0	187597.0	6519.0	97.0
в том числе в возрасте, лет:																			
до 15	102647.0	182562.0	4.0	344.0	59.0	961.0	714.0	79530.0	-	662.0	13.0	67.0	100134.0	74.0	115.0	23634.0	77782.0	1100.0	16.0
15-19	45040.0	72901.0	2393.0	2460.0	12763.0	571.0	510.0	13085.0	104.0	678.0	23.0	17.0	40182.0	115.0	44.0	18688.0	24739.0	1544.0	25.0
20-29	78306.0	99519.0	32423.0	11877.0	7958.0	167.0	1155.0	2972.0	1018.0	1330.0	287.0	86.0	39170.0	1076.0	103.0	58033.0	19037.0	1120.0	13.0
30-49	151883.0	180387.0	85751.0	31051.0	137.0	2157.0	6221.0	2954.0	1909.0	1460.0	1623.0	431.0	43370.0	3323.0	209.0	123951.0	26754.0	948.0	21.0
50-54	26723.0	31984.0	15091.0	5329.0	-	3325.0	2489.0	87.0	169.0	122.0	229.0	82.0	4595.0	466.0	40.0	21597.0	4876.0	206.0	4.0
55-59	16658.0	22012.0	7065.0	3470.0	-	8343.0	1483.0	28.0	29.0	54.0	99.0	29.0	1244.0	168.0	27.0	11533.0	4816.0	281.0	1.0
60-64	30033.0	41864.0	6489.0	6847.0	-	26292.0	1477.0	31.0	-	59.0	46.0	37.0	526.0	60.0	30.0	18779.0	10599.0	615.0	10.0
65 и более	63383.0	83758.0	4372.0	14947.0	-	60163.0	2763.0	75.0	-	120.0	76.0	58.0	1148.0	36.0	43.0	43641.0	18987.0	705.0	7.0
возраст не указан	202.0	67.0	20.0	-	-	6.0	-	2.0	-	-	-	-	33.0	6.0	142.0	53.0	7.0	-	-
Даргинцы	510156.0	765050.0	117570.0	104203.0	15869.0	50214.0	17394.0	166311.0	13992.0	2452.0	2097.0	1372.0	266354.0	7222.0	64.0	263318.0	238710.0	7946.0	118.0
в том числе в возрасте, лет:																			
до 15	150434.0	291823.0	2.0	449.0	33.0	737.0	1730.0	141701.0	-	515.0	9.0	358.0	146190.0	99.0	7.0	11405.0	136684.0	2302.0	36.0
15-19	59110.0	93510.0	3643.0	5077.0	9522.0	345.0	1094.0	21294.0	921.0	306.0	25.0	85.0	50849.0	349.0	6.0	26098.0	31628.0	1357.0	21.0
20-29	90325.0	113678.0	29624.0	26068.0	6281.0	132.0	2035.0	1733.0	5311.0	696.0	335.0	179.0	39088.0	2196.0	17.0	67828.0	21601.0	869.0	10.0
30-49	142086.0	176008.0	69350.0	53776.0	32.0	1172.0	8426.0	1485.0	7364.0	842.0	1112.0	581.0	27773.0	4095.0	22.0	109565.0	31077.0	1399.0	23.0
50-54	15479.0	19703.0	7727.0	5258.0	-	2632.0	1647.0	34.0	327.0	39.0	100.0	61.0	1558.0	320.0	-	11582.0	3579.0	309.0	9.0
55-59	7586.0	10018.0	2913.0	2309.0	-	3486.0	688.0	12.0	69.0	19.0	34.0	26.0	358.0	104.0	2.0	5385.0	1966.0	231.0	2.0
60-64	12331.0	17373.0	2379.0	3456.0	-	10631.0	580.0	15.0	-	17.0	85.0	34.0	150.0	26.0	1.0	7898.0	3830.0	593.0	9.0
65 и более	32760.0	42897.0	1924.0	7799.0	-	31076.0	1193.0	35.0	-	18.0	397.0	48.0	375.0	32.0	-	23524.0	8343.0	885.0	8.0
возраст не указан	45.0	40.0	8.0	11.0	1.0	3.0	1.0	2.0	-	-	-	-	13.0	1.0	9.0	33.0	2.0	1.0	-
Буряты	445175.0	700328.0	151970.0	136612.0	16296.0	66691.0	17762.0	100425.0	3343.0	4717.0	846.0	603.0	195646.0	5417.0	150.0	221044.0	194110.0	28432.0	1439.0
в том числе в возрасте, лет:																			
до 15	107189.0	200228.0	3.0	10068.0	50.0	5172.0	1679.0	78714.0	-	663.0	177.0	57.0	103549.0	96.0	40.0	27686.0	66507.0	12299.0	657.0
15-19	49805.0	89466.0	3881.0	12031.0	10839.0	3050.0	1153.0	14553.0	102.0	683.0	56.0	30.0	42862.0	226.0	7.0	19759.0	21060.0	8333.0	646.0
20-29	74962.0	104822.0	38527.0	22371.0	5264.0	726.0	2215.0	4356.0	737.0	1497.0	147.0	68.0	27566.0	1348.0	30.0	47442.0	25164.0	2254.0	72.0
30-49	134861.0	188211.0	88077.0	60248.0	139.0	3588.0	7480.0	2697.0	2082.0	1429.0	329.0	285.0	18666.0	3191.0	37.0	83886.0	48522.0	2384.0	32.0
50-54	23291.0	34726.0	13835.0	10319.0	-	5291.0	2406.0	76.0	341.0	137.0	42.0	47.0	1836.0	396.0	9.0	13099.0	8931.0	1244.0	8.0
55-59	10103.0	16130.0	4315.0	4188.0	-	6024.0	928.0	12.0	81.0	48.0	23.0	19.0	396.0	96.0	8.0	4811.0	4536.0	745.0	3.0
60-64	14291.0	22798.0	2339.0	6156.0	-	13362.0	642.0	3.0	-	82.0	18.0	25.0	144.0	27.0	1.0	6488.0	7105.0	688.0	9.0
65 и более	30637.0	43914.0	983.0	11227.0	-	29475.0	1258.0	13.0	-	177.0	54.0	72.0	620.0	35.0	7.0	17855.0	12279.0	484.0	12.0
возраст не указан	36.0	33.0	10.0	4.0	4.0	3.0	1.0	1.0	-	1.0	-	-	7.0	2.0	11.0	18.0	6.0	1.0	-
Якуты	443852.0	693611.0	169527.0	80659.0	20804.0	66543.0	17090.0	126955.0	2512.0	5799.0	1215.0	596.0	199106.0	2805.0	408.0	213728.0	209874.0	19251.0	591.0
в том числе в возрасте, лет:																			
до 15	123181.0	228874.0	9.0	2265.0	11.0	4013.0	2495.0	101098.0	-	1113.0	27.0	98.0	117645.0	100.0	121.0	23594.0	93273.0	6041.0	152.0
15-19	50276.0	84898.0	3878.0	3934.0	12472.0	2209.0	1285.0	17444.0	186.0	683.0	34.0	34.0	42588.0	151.0	28.0	19648.0	26740.0	3675.0	185.0
20-29	66685.0	86410.0	38700.0	8710.0	8086.0	364.0	1826.0	3801.0	628.0	1146.0	197.0	87.0	22246.0	619.0	79.0	48189.0	17087.0	1274.0	56.0
30-49	134001.0	182506.0	103338.0	42277.0	234.0	4498.0	7154.0	4341.0	1575.0	1852.0	614.0	237.0	14718.0	1668.0	108.0	88547.0	42162.0	3103.0	81.0
50-54	20738.0	34487.0	13599.0	7385.0	-	10123.0	1649.0	147.0	117.0	209.0	101.0	56.0	916.0	185.0	22.0	9119.0	9477.0	2069.0	51.0
55-59	11586.0	20346.0	5389.0	3881.0	-	9842.0	781.0	25.0	6.0	120.0	58.0	21.0	188.0	35.0	12.0	4338.0	5727.0	1483.0	26.0
60-64	10695.0	17450.0	2710.0	3782.0	-	10009.0	539.0	20.0	-	145.0	52.0	21.0	150.0	22.0	3.0	4763.0	5117.0	795.0	17.0
65 и более	26658.0	38616.0	1899.0	8422.0	-	25482.0	1360.0	76.0	-	530.0	130.0	41.0	651.0	25.0	19.0	15519.0	10289.0	808.0	23.0
возраст не указан	32.0	24.0	5.0	3.0	1.0	3.0	1.0	3.0	-	1.0	2.0	1.0	4.0	-	16.0	11.0	2.0	3.0	-
Кумыки	422409.0	608937.0	107739.0	61204.0	16307.0	38542.0	13690.0	135258.0	7394.0	2211.0	1215.0	1170.0	218249.0	5958.0	269.0	239700.0	178155.0	4215.0	70.0
в том числе в возрасте, лет:																			
до 15	123019.0	235080.0	-	585.0	36.0	565.0	1011.0	114560.0	-	283.0	8.0	310.0	117656.0	66.0	68.0	12555.0	108693.0	1673.0	30.0
15-19	50251.0	79688.0	3089.0	3688.0	9986.0	281.0	679.0	18067.0	439.0	251.0	19.0	88.0	42845.0	256.0	23.0	21905.0	27210.0	1089.0	24.0
20-29	73582.0	89090.0	27681.0	15092.0	6251.0	121.0	1282.0	1338.0	2685.0	700.0	221.0	179.0	31936.0	1604.0	78.0	58246.0	14932.0	324.0	2.0
30-49	117765.0	135684.0	62725.0	31599.0	33.0	971.0	6116.0	1202.0	3998.0	862.0	746.0	438.0	23464.0	3530.0	77.0	100154.0	17081.0	446.0	7.0
50-54	15701.0	18381.0	8252.0	3737.0	-	2123.0	1743.0	38.0	241.0	42.0	110.0	60.0	1678.0	357.0	19.0	13113.0	2440.0	128.0	1.0
55-59	7801.0	9543.0	3093.0	1541.0	-	3499.0	823.0	14.0	30.0	22.0	38.0	27.0	367.0	89.0	4.0	6163.0	1523.0	110.0	1.0
60-64	11019.0	13948.0	1906.0	1779.0	-	9290.0	736.0	12.0	-	18.0	24.0	24.0	127.0	32.0	-	8330.0	2452.0	234.0	3.0
65 и более	23251.0	27500.0	988.0	3182.0	-	21691.0	1299.0	24.0	-	31.0	49.0	44.0	168.0	24.0	-	19217.0	3821.0	211.0	2.0
возраст не указан	20.0	23.0	5.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	-	-	8.0	-	-	17.0	3.0	-	-
Ингуши	413016.0	460122.0	47844.0	19782.0	14987.0	33925.0	14293.0	140095.0	23722.0	4106.0	1997.0	969.0	145274.0	13128.0	843.0	365279.0	45893.0	947.0	54.0
в том числе в возрасте, лет:																			
до 15	137781.0	160608.0	-	67.0	9.0	844.0	882.0	118039.0	-	482.0	23.0	46.0	40081.0	135.0	314.0	114555.0	22706.0	183.0	23.0
15-19	45883.0	51914.0	1179.0	618.0	6701.0	356.0	495.0	15576.0	1195.0	397.0	43.0	27.0	24748.0	579.0	83.0	39829.0	5840.0	119.0	12.0
20-29	73423.0	79006.0	12577.0	3719.0	7927.0	176.0	1115.0	2003.0	8129.0	1084.0	386.0	156.0	38564.0	3170.0	161.0	67713.0	5356.0	191.0	2.0
30-49	108574.0	117312.0	28819.0	12166.0	347.0	1850.0	6451.0	4072.0	13578.0	1916.0	1272.0	591.0	38215.0	8035.0	214.0	99777.0	8225.0	347.0	11.0
50-54	12611.0	13806.0	2982.0	1492.0	-	2941.0	1942.0	178.0	706.0	148.0	161.0	84.0	2330.0	842.0	26.0	11403.0	1146.0	33.0	3.0
55-59	6835.0	7481.0	1157.0	588.0	-	3529.0	987.0	55.0	112.0	40.0	52.0	17.0	702.0	242.0	8.0	6189.0	622.0	16.0	-
60-64	9335.0	10290.0	756.0	493.0	-	7643.0	935.0	52.0	-	23.0	25.0	20.0	270.0	73.0	7.0	8401.0	895.0	29.0	3.0
65 и более	18381.0	19523.0	348.0	636.0	-	16565.0	1482.0	77.0	-	16.0	31.0	27.0	289.0	52.0	9.0	17250.0	1093.0	29.0	-
возраст не указан	193.0	182.0	26.0	3.0	3.0	21.0	4.0	43.0	2.0	-	4.0	1.0	75.0	-	21.0	162.0	10.0	-	-
Лезгины	411535.0	585996.0	100074.0	71412.0	17017.0	38213.0	9785.0	120154.0	19942.0	2557.0	1047.0	1127.0	198899.0	5769.0	135.0	240322.0	167613.0	3413.0	52.0
в том числе в возрасте, лет:																			
до 15	113399.0	209374.0	-	340.0	45.0	482.0	661.0	100155.0	-	333.0	8.0	530.0	106726.0	94.0	37.0	18432.0	93860.0	1058.0	12.0
15-19	50322.0	79121.0	2785.0	3678.0	10870.0	269.0	383.0	17384.0	1455.0	347.0	31.0	134.0	41480.0	305.0	13.0	22284.0	27252.0	759.0	14.0
20-29	71676.0	86680.0	22865.0	16836.0	6056.0	78.0	974.0	1228.0	7110.0	756.0	228.0	92.0	28886.0	1571.0	20.0	56977.0	14342.0	329.0	8.0
30-49	122299.0	142481.0	61705.0	37252.0	46.0	1108.0	4892.0	1314.0	10731.0	996.0	656.0	317.0	20072.0	3392.0	54.0	102611.0	19043.0	581.0	10.0
50-54	14405.0	17237.0	7415.0	3922.0	-	2253.0	1326.0	33.0	566.0	62.0	57.0	26.0	1289.0	288.0	4.0	11686.0	2597.0	115.0	3.0
55-59	5838.0	7395.0	2410.0	1467.0	-	2678.0	443.0	11.0	80.0	16.0	21.0	3.0	207.0	59.0	-	4376.0	1367.0	95.0	-
60-64	10128.0	13569.0	1785.0	2313.0	-	8895.0	407.0	6.0	-	14.0	17.0	9.0	95.0	28.0	2.0	6931.0	2950.0	242.0	3.0
65 и более	23447.0	30118.0	1097.0	5602.0	-	22449.0	699.0	22.0	-	33.0	29.0	16.0	141.0	30.0	3.0	17008.0	6200.0	234.0	2.0
возраст не указан	21.0	21.0	12.0	2.0	-	1.0	-	1.0	-	-	-	-	3.0	2.0	2.0	17.0	2.0	-	-
Коми	293406.0	416431.0	127595.0	65679.0	6409.0	74668.0	11349.0	33441.0	5350.0	5196.0	593.0	234.0	80002.0	5915.0	150.0	179439.0	104708.0	8867.0	242.0
в том числе в возрасте, лет:																			
до 15	43638.0	71016.0	2.0	1309.0	4.0	1911.0	607.0	24456.0	-	1002.0	14.0	9.0	41610.0	92.0	51.0	18422.0	22969.0	2129.0	67.0
15-19	24261.0	38087.0	2780.0	2673.0	4851.0	1628.0	514.0	5352.0	254.0	694.0	25.0	5.0	19117.0	194.0	7.0	12502.0	9759.0	1908.0	85.0
20-29	42077.0	52933.0	29511.0	7039.0	1536.0	258.0	1179.0	1844.0	1165.0	947.0	99.0	29.0	8380.0	946.0	12.0	31848.0	9583.0	617.0	17.0
30-49	103008.0	137529.0	77286.0	30842.0	16.0	2804.0	5393.0	1618.0	3655.0	1584.0	277.0	129.0	9890.0	4035.0	49.0	69838.0	31708.0	1379.0	34.0
50-54	21075.0	33148.0	12014.0	6138.0	-	11703.0	1420.0	68.0	264.0	191.0	48.0	25.0	763.0	514.0	8.0	10533.0	9005.0	1511.0	18.0
55-59	8556.0	13577.0	3054.0	2330.0	-	7572.0	381.0	21.0	11.0	63.0	23.0	5.0	56.0	61.0	2.0	4159.0	3776.0	610.0	9.0
60-64	14174.0	20660.0	1929.0	4392.0	-	13623.0	462.0	17.0	-	138.0	28.0	11.0	35.0	25.0	1.0	8101.0	5662.0	405.0	5.0
65 и более	36545.0	49402.0	989.0	10947.0	-	35156.0	1391.0	61.0	-	577.0	79.0	21.0	141.0	40.0	10.0	23989.0	12233.0	306.0	7.0
возраст не указан	72.0	79.0	30.0	9.0	2.0	13.0	2.0	4.0	1.0	-	-	-	10.0	8.0	10.0	47.0	13.0	2.0	-
Тувинцы	243442.0	390785.0	60517.0	44617.0	8640.0	34596.0	14852.0	80965.0	8020.0	5285.0	268.0	720.0	131227.0	1078.0	5.0	114011.0	112282.0	16368.0	776.0
в том числе в возрасте, лет:																			
до 15	76681.0	151922.0	-	3178.0	15.0	6786.0	1595.0	65974.0	-	980.0	11.0	264.0	73097.0	22.0	1.0	10596.0	57337.0	8337.0	410.0
15-19	30452.0	54686.0	2378.0	4553.0	5306.0	4070.0	1048.0	11144.0	340.0	669.0	15.0	122.0	24974.0	67.0	1.0	11471.0	14034.0	4638.0	308.0
20-29	44510.0	59102.0	17218.0	9500.0	3211.0	758.0	2613.0	2123.0	2839.0	1642.0	65.0	165.0	18676.0	292.0	-	31074.0	12305.0	1106.0	25.0
30-49	65395.0	85562.0	35490.0	18212.0	107.0	1770.0	7602.0	1690.0	4646.0	1554.0	132.0	146.0	13605.0	608.0	2.0	46429.0	17775.0	1173.0	16.0
50-54	7734.0	11717.0	3222.0	2564.0	-	3926.0	1036.0	16.0	187.0	93.0	20.0	12.0	590.0	51.0	1.0	4213.0	3066.0	444.0	10.0
55-59	6391.0	9968.0	1364.0	2304.0	-	5589.0	468.0	11.0	8.0	76.0	6.0	3.0	121.0	18.0	-	3168.0	2872.0	348.0	3.0
60-64	6442.0	9731.0	656.0	2501.0	-	6106.0	270.0	5.0	-	94.0	11.0	5.0	69.0	14.0	-	3380.0	2836.0	225.0	1.0
65 и более	5832.0	8090.0	185.0	1805.0	-	5591.0	220.0	2.0	-	176.0	8.0	3.0	95.0	5.0	-	3677.0	2055.0	97.0	3.0
возраст не указан	5.0	7.0	4.0	-	1.0	-	-	-	-	1.0	-	-	-	1.0	-	3.0	2.0	-	-
Евреи	229938.0	275013.0	103155.0	6071.0	3827.0	109993.0	12155.0	4746.0	537.0	1922.0	1848.0	498.0	27028.0	3233.0	1104.0	185105.0	41466.0	2117.0	146.0
в том числе в возрасте, лет:																			
до 15	11245.0	14241.0	8.0	14.0	1.0	84.0	101.0	2986.0	-	102.0	-	4.0	10904.0	37.0	82.0	8138.0	2973.0	51.0	1.0
15-19	7557.0	9880.0	756.0	57.0	1807.0	105.0	104.0	591.0	9.0	83.0	19.0	9.0	6221.0	119.0	33.0	5344.0	2024.0	141.0	15.0
20-29	17156.0	19760.0	11322.0	254.0	1969.0	76.0	263.0	333.0	79.0	337.0	159.0	52.0	4423.0	493.0	114.0	14559.0	2284.0	172.0	27.0
30-49	47692.0	50907.0	40285.0	1281.0	46.0	811.0	1537.0	481.0	269.0	529.0	566.0	165.0	3484.0	1453.0	305.0	44089.0	3109.0	167.0	22.0
50-54	19330.0	21578.0	15934.0	704.0	-	1976.0	1132.0	81.0	132.0	104.0	232.0	56.0	881.0	346.0	101.0	17044.0	2032.0	145.0	8.0
55-59	17741.0	22468.0	12105.0	627.0	-	7843.0	986.0	34.0	48.0	78.0	192.0	47.0	280.0	228.0	94.0	13064.0	4358.0	216.0	9.0
60-64	24919.0	34633.0	10195.0	992.0	-	21610.0	1118.0	42.0	-	130.0	165.0	51.0	141.0	189.0	95.0	15543.0	8777.0	483.0	21.0
65 и более	84198.0	101467.0	12510.0	2141.0	-	77467.0	6911.0	198.0	-	558.0	515.0	114.0	688.0	365.0	253.0	67257.0	15903.0	742.0	43.0
возраст не указан	100.0	79.0	40.0	1.0	4.0	21.0	3.0	-	-	1.0	-	-	6.0	3.0	27.0	67.0	6.0	-	-
Карачаевцы	192182.0	268747.0	36899.0	32390.0	9257.0	26048.0	9689.0	47714.0	1996.0	1213.0	442.0	277.0	91184.0	11638.0	55.0	117347.0	72969.0	1783.0	28.0
в том числе в возрасте, лет:																			
до 15	45215.0	81982.0	-	22.0	6.0	214.0	420.0	38028.0	-	204.0	6.0	71.0	42927.0	84.0	4.0	8870.0	35914.0	424.0	3.0
15-19	20197.0	31749.0	605.0	713.0	5251.0	140.0	256.0	6599.0	90.0	141.0	4.0	27.0	17496.0	427.0	2.0	8913.0	11015.0	262.0	5.0
20-29	32208.0	40358.0	8976.0	5414.0	3952.0	68.0	590.0	1463.0	573.0	350.0	49.0	49.0	16054.0	2820.0	3.0	24362.0	7541.0	294.0	8.0
30-49	58768.0	69593.0	21933.0	17635.0	48.0	609.0	4986.0	1544.0	1206.0	461.0	308.0	88.0	13404.0	7371.0	18.0	48376.0	9913.0	453.0	8.0
50-54	7947.0	9443.0	2999.0	2204.0	-	896.0	1468.0	38.0	113.0	25.0	33.0	16.0	960.0	691.0	4.0	6508.0	1370.0	65.0	-
55-59	2931.0	3648.0	875.0	663.0	-	1392.0	426.0	4.0	14.0	3.0	10.0	4.0	122.0	135.0	1.0	2248.0	647.0	34.0	1.0
60-64	7437.0	9771.0	954.0	1651.0	-	6389.0	592.0	14.0	-	8.0	12.0	8.0	86.0	57.0	-	5230.0	2081.0	125.0	1.0
65 и более	17443.0	22188.0	553.0	4088.0	-	16340.0	951.0	22.0	-	21.0	20.0	14.0	131.0	48.0	-	12829.0	4486.0	126.0	2.0
возраст не указан	36.0	15.0	4.0	-	-	-	-	2.0	-	-	-	-	4.0	5.0	23.0	11.0	2.0	-	-
Калмыки	173996.0	241005.0	60521.0	11904.0	6693.0	24309.0	6823.0	42245.0	2537.0	1431.0	313.0	207.0	82882.0	1140.0	44.0	110197.0	60489.0	3235.0	31.0
в том числе в возрасте, лет:																			
до 15	39238.0	75513.0	-	39.0	49.0	1472.0	877.0	34511.0	-	180.0	2.0	10.0	38351.0	22.0	8.0	4638.0	32906.0	1681.0	5.0
15-19	19451.0	30986.0	1428.0	83.0	4691.0	972.0	488.0	5781.0	76.0	272.0	10.0	7.0	17116.0	62.0	-	8695.0	9984.0	765.0	7.0
20-29	25677.0	30227.0	13069.0	976.0	1914.0	247.0	565.0	1092.0	435.0	342.0	45.0	23.0	11295.0	224.0	15.0	21387.0	3995.0	271.0	9.0
30-49	60128.0	69051.0	38372.0	7784.0	39.0	1341.0	3093.0	812.0	1820.0	462.0	213.0	111.0	14281.0	723.0	18.0	51502.0	8283.0	317.0	8.0
50-54	8826.0	10558.0	5620.0	946.0	-	1359.0	888.0	21.0	188.0	44.0	29.0	16.0	1361.0	86.0	1.0	7184.0	1550.0	90.0	1.0
55-59	2287.0	2929.0	1069.0	195.0	-	1235.0	220.0	5.0	18.0	16.0	6.0	5.0	148.0	12.0	1.0	1672.0	585.0	29.0	-
60-64	4909.0	6123.0	595.0	573.0	-	4640.0	192.0	9.0	-	35.0	1.0	5.0	66.0	7.0	-	3742.0	1120.0	47.0	-
65 и более	13469.0	15607.0	365.0	1308.0	-	13041.0	499.0	13.0	-	80.0	7.0	30.0	260.0	4.0	-	11368.0	2065.0	35.0	1.0
возраст не указан	11.0	11.0	3.0	-	-	2.0	1.0	1.0	-	-	-	-	4.0	-	1.0	9.0	1.0	-	-
Адыгейцы	128528.0	182875.0	42760.0	25177.0	4174.0	22712.0	4742.0	25840.0	956.0	1001.0	642.0	680.0	53733.0	458.0	44.0	77237.0	48165.0	3022.0	60.0
в том числе в возрасте, лет:																			
до 15	25751.0	47082.0	-	526.0	7.0	291.0	239.0	20612.0	-	128.0	2.0	34.0	25224.0	19.0	8.0	5292.0	19578.0	858.0	15.0
15-19	12335.0	19710.0	701.0	1028.0	2768.0	150.0	163.0	3470.0	29.0	132.0	9.0	10.0	11237.0	13.0	-	5740.0	5830.0	750.0	15.0
20-29	18809.0	24095.0	8998.0	3472.0	1381.0	37.0	323.0	989.0	289.0	327.0	120.0	43.0	8028.0	88.0	3.0	13919.0	4496.0	381.0	10.0
30-49	40243.0	49245.0	25694.0	10830.0	18.0	467.0	1814.0	730.0	564.0	340.0	400.0	241.0	7884.0	263.0	11.0	31623.0	8214.0	386.0	9.0
50-54	6875.0	8758.0	4220.0	2006.0	-	633.0	786.0	9.0	61.0	31.0	61.0	52.0	846.0	53.0	1.0	5097.0	1676.0	95.0	6.0
55-59	3680.0	5129.0	1573.0	1109.0	-	1778.0	412.0	8.0	13.0	14.0	20.0	29.0	162.0	11.0	-	2320.0	1273.0	86.0	1.0
