7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие
начального
общего
образова-ния
	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузовское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
										
Центральный федеральный округ										
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	54045.0	2178.0	698.0	19810.0	15738.0	11777.0	3452.0	355.0	3.0	34.0
операторы, аппаратчики, машинисты установок и машин	54130.0	1636.0	478.0	17501.0	18200.0	11733.0	3931.0	624.0	6.0	21.0
неквалифицированные рабочие	38295.0	1317.0	378.0	11127.0	10445.0	9147.0	5109.0	715.0	30.0	27.0
занятые на военной службе	1567.0	874.0	45.0	405.0	133.0	94.0	12.0	-	4.0	-
лица, неточно указавшие или не указавшие занятия 	6915.0	1268.0	151.0	2418.0	1398.0	1059.0	523.0	60.0	11.0	27.0
Рязанская область										
Все население, занятое в экономике	486985.0	104928.0	11625.0	185618.0	85683.0	68981.0	25870.0	3685.0	214.0	381.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	55752.0	26362.0	1722.0	20479.0	3136.0	3347.0	620.0	58.0	-	28.0
специалисты высшего уровня квалификации	68777.0	50196.0	2076.0	12883.0	1584.0	1646.0	320.0	-	-	72.0
специалисты среднего уровня квалификации	62969.0	8162.0	2401.0	40825.0	5746.0	4899.0	791.0	79.0	5.0	61.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12831.0	1855.0	668.0	6369.0	1389.0	2205.0	300.0	36.0	-	9.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	60260.0	5791.0	1531.0	27002.0	11836.0	10712.0	2999.0	299.0	35.0	55.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	9894.0	279.0	44.0	2119.0	2519.0	2081.0	2407.0	430.0	7.0	8.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	83898.0	4001.0	1534.0	31719.0	22570.0	17385.0	5925.0	695.0	19.0	50.0
операторы, аппаратчики, машинисты установок и машин	71208.0	2764.0	841.0	24897.0	22376.0	14130.0	5460.0	687.0	13.0	40.0
неквалифицированные рабочие	53007.0	2096.0	614.0	16378.0	13731.0	11832.0	6829.0	1377.0	124.0	26.0
занятые на военной службе	4824.0	2556.0	113.0	1606.0	255.0	257.0	37.0	-	-	-
лица, неточно указавшие или не указавшие занятия 	3565.0	866.0	81.0	1341.0	541.0	487.0	182.0	24.0	11.0	32.0
Смоленская область										
Все население, занятое в экономике	427752.0	88626.0	9007.0	172621.0	66597.0	61405.0	25531.0	3313.0	133.0	519.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	48682.0	21590.0	1460.0	19009.0	2728.0	3131.0	643.0	70.0	-	51.0
специалисты высшего уровня квалификации	58191.0	40075.0	1574.0	12899.0	1532.0	1659.0	356.0	4.0	-	92.0
специалисты среднего уровня квалификации	49365.0	7899.0	1646.0	30879.0	4196.0	3775.0	833.0	76.0	-	61.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10247.0	1540.0	434.0	5272.0	1243.0	1502.0	215.0	29.0	-	12.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	52958.0	5037.0	1156.0	25590.0	9295.0	9025.0	2513.0	279.0	23.0	40.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	8192.0	252.0	61.0	2208.0	1968.0	1653.0	1802.0	232.0	11.0	5.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	74512.0	3327.0	1055.0	30656.0	17560.0	15507.0	5677.0	607.0	20.0	103.0
операторы, аппаратчики, машинисты установок и машин	61885.0	2208.0	773.0	23764.0	15766.0	13031.0	5641.0	661.0	-	41.0
неквалифицированные рабочие	46478.0	1658.0	528.0	15597.0	10373.0	10031.0	6950.0	1255.0	53.0	33.0
занятые на военной службе	6272.0	2641.0	100.0	2552.0	398.0	491.0	90.0	-	-	-
