15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
иностранные граждане	31540.0	2303.0	5144.0	9436.0	6591.0	3515.0	1549.0	1454.0	1521.0	27.0	3951.0	24304.0	3258.0
из них имеющие гражданство:													
стран СНГ	24844.0	1985.0	4269.0	6344.0	5338.0	2926.0	1241.0	1325.0	1402.0	14.0	3476.0	18392.0	2962.0
Азербайджана	4654.0	777.0	663.0	1018.0	1379.0	601.0	132.0	55.0	25.0	4.0	1279.0	3281.0	90.0
Армении	2816.0	345.0	487.0	602.0	676.0	411.0	147.0	104.0	43.0	1.0	648.0	2001.0	166.0
Белоруссии	2786.0	109.0	384.0	690.0	451.0	351.0	182.0	291.0	328.0	-	170.0	1950.0	666.0
Грузии	2195.0	155.0	310.0	473.0	585.0	319.0	153.0	126.0	74.0	-	321.0	1653.0	221.0
Казахстана	2061.0	50.0	960.0	619.0	116.0	78.0	60.0	104.0	73.0	1.0	92.0	1777.0	191.0
Киргизии	364.0	14.0	124.0	118.0	49.0	26.0	8.0	16.0	9.0	-	30.0	308.0	26.0
Молдавии	1171.0	68.0	162.0	374.0	278.0	169.0	55.0	26.0	38.0	1.0	120.0	977.0	73.0
Таджикистана	1113.0	103.0	138.0	415.0	285.0	133.0	20.0	8.0	9.0	2.0	145.0	947.0	19.0
Туркмении	476.0	7.0	274.0	132.0	29.0	16.0	3.0	7.0	7.0	1.0	23.0	438.0	14.0
Узбекистана	1077.0	74.0	161.0	307.0	214.0	136.0	83.0	56.0	45.0	1.0	131.0	828.0	117.0
Украины	6131.0	283.0	606.0	1596.0	1276.0	686.0	398.0	532.0	751.0	3.0	517.0	4232.0	1379.0
других стран мира	6696.0	318.0	875.0	3092.0	1253.0	589.0	308.0	129.0	119.0	13.0	475.0	5912.0	296.0
Афганистана	220.0	27.0	16.0	70.0	76.0	18.0	10.0	2.0	-	1.0	38.0	179.0	2.0
Болгарии	113.0	6.0	24.0	24.0	23.0	13.0	15.0	6.0	2.0	-	18.0	85.0	10.0
Вьетнама	385.0	22.0	66.0	160.0	102.0	27.0	6.0	-	1.0	1.0	29.0	353.0	2.0
Германии	129.0	13.0	9.0	35.0	19.0	26.0	19.0	4.0	3.0	1.0	16.0	99.0	13.0
Греции	68.0	3.0	7.0	52.0	1.0	2.0	2.0	-	1.0	-	4.0	62.0	2.0
Израиля	145.0	11.0	15.0	49.0	23.0	14.0	11.0	10.0	12.0	-	16.0	107.0	22.0
Индии	445.0	3.0	84.0	326.0	28.0	3.0	1.0	-	-	-	3.0	442.0	-
Китая	992.0	2.0	263.0	617.0	76.0	18.0	11.0	3.0	2.0	-	4.0	982.0	6.0
Латвии	257.0	27.0	33.0	52.0	49.0	33.0	35.0	13.0	15.0	-	38.0	183.0	36.0
Литвы	359.0	17.0	71.0	80.0	68.0	48.0	31.0	22.0	22.0	-	39.0	273.0	47.0
Сирии	83.0	1.0	5.0	48.0	19.0	7.0	2.0	1.0	-	-	1.0	80.0	2.0
США	151.0	42.0	11.0	22.0	28.0	26.0	11.0	6.0	3.0	2.0	48.0	90.0	11.0
Турции	297.0	2.0	1.0	115.0	130.0	43.0	5.0	-	1.0	-	2.0	294.0	1.0
Финляндии	117.0	17.0	9.0	30.0	12.0	24.0	20.0	2.0	3.0	-	20.0	88.0	9.0
Эстонии	179.0	12.0	30.0	54.0	31.0	22.0	10.0	8.0	11.0	1.0	20.0	139.0	19.0
без гражданства	10020.0	1776.0	1335.0	1500.0	2153.0	1274.0	673.0	621.0	626.0	62.0	2732.0	5828.0	1398.0
гражданство не указано	322630.0	18266.0	36419.0	47484.0	54095.0	57781.0	42388.0	29456.0	25149.0	11592.0	37893.0	209711.0	63434.0
Южный федеральный округ													
Республика Адыгея													
Все население	447109.0	45698.0	73146.0	64676.0	58634.0	68373.0	44622.0	50236.0	41526.0	198.0	86789.0	259542.0	100580.0
в том числе:													
граждане России	441480.0	45172.0	72104.0	63764.0	57705.0	67507.0	44160.0	49837.0	41175.0	56.0	85619.0	256054.0	99751.0
из них имеющие два гражданства	407.0	40.0	67.0	54.0	82.0	81.0	31.0	24.0	28.0	-	82.0	270.0	55.0
иностранные граждане	1628.0	164.0	264.0	334.0	328.0	237.0	122.0	104.0	75.0	-	327.0	1105.0	196.0
из них имеющие гражданство:													
стран СНГ	1505.0	149.0	250.0	303.0	302.0	217.0	112.0	100.0	72.0	-	306.0	1011.0	188.0
Азербайджана	174.0	26.0	31.0	32.0	42.0	30.0	6.0	4.0	3.0	-	48.0	119.0	7.0
Армении	591.0	75.0	108.0	127.0	114.0	84.0	38.0	33.0	12.0	-	148.0	390.0	53.0
Белоруссии	45.0	5.0	8.0	6.0	9.0	8.0	2.0	3.0	4.0	-	11.0	27.0	7.0
Грузии	189.0	11.0	25.0	43.0	27.0	35.0	20.0	15.0	13.0	-	25.0	132.0	32.0
Казахстана	85.0	8.0	14.0	25.0	13.0	6.0	4.0	8.0	7.0	-	15.0	55.0	15.0
Киргизии	6.0	2.0	-	2.0	2.0	-	-	-	-	-	2.0	4.0	-
Молдавии	10.0	2.0	1.0	2.0	3.0	-	1.0	1.0	-	-	3.0	6.0	1.0
Таджикистана	15.0	-	3.0	2.0	3.0	1.0	4.0	2.0	-	-	3.0	10.0	2.0
Туркмении	24.0	4.0	-	9.0	6.0	-	2.0	1.0	2.0	-	4.0	17.0	3.0
Узбекистана	62.0	9.0	8.0	8.0	14.0	5.0	6.0	6.0	6.0	-	14.0	36.0	12.0
Украины	304.0	7.0	52.0	47.0	69.0	48.0	29.0	27.0	25.0	-	33.0	215.0	56.0
других стран мира	123.0	15.0	14.0	31.0	26.0	20.0	10.0	4.0	3.0	-	21.0	94.0	8.0
Афганистана	7.0	2.0	1.0	-	2.0	1.0	1.0	-	-	-	3.0	4.0	-
Болгарии	3.0	-	-	1.0	-	-	1.0	1.0	-	-	-	2.0	1.0
Германии	2.0	-	-	-	2.0	-	-	-	-	-	-	2.0	-
Греции	2.0	1.0	-	1.0	-	-	-	-	-	-	1.0	1.0	-
Китая	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
Латвии	4.0	-	-	-	2.0	1.0	-	-	1.0	-	-	3.0	1.0
Литвы	2.0	1.0	-	-	1.0	-	-	-	-	-	1.0	1.0	-
Сирии	24.0	4.0	3.0	8.0	3.0	3.0	2.0	-	1.0	-	6.0	16.0	2.0
США	10.0	5.0	-	-	1.0	3.0	-	1.0	-	-	5.0	4.0	1.0
Турции	46.0	1.0	6.0	16.0	9.0	10.0	2.0	2.0	-	-	4.0	40.0	2.0
Эстонии	3.0	-	1.0	-	2.0	-	-	-	-	-	-	3.0	-
без гражданства	2135.0	201.0	508.0	323.0	349.0	312.0	158.0	143.0	141.0	-	540.0	1284.0	311.0
гражданство не указано	1866.0	161.0	270.0	255.0	252.0	317.0	182.0	152.0	135.0	142.0	303.0	1099.0	322.0
Республика Дагестан													
Все население	2576531.0	451618.0	584262.0	446073.0	385462.0	311991.0	139409.0	145426.0	112215.0	75.0	792339.0	1501260.0	282857.0
в том числе:													
граждане России	2573392.0	451193.0	583480.0	445300.0	385014.0	311588.0	139263.0	145326.0	112156.0	72.0	791511.0	1499139.0	282670.0
из них имеющие два гражданства	160.0	19.0	34.0	28.0	35.0	21.0	12.0	6.0	5.0	-	37.0	110.0	13.0
иностранные граждане	1643.0	131.0	380.0	547.0	253.0	211.0	66.0	34.0	21.0	-	267.0	1310.0	66.0
из них имеющие гражданство:													
стран СНГ	1103.0	124.0	225.0	193.0	239.0	205.0	65.0	32.0	20.0	-	256.0	784.0	63.0
Азербайджана	669.0	76.0	136.0	111.0	152.0	130.0	31.0	18.0	15.0	-	154.0	476.0	39.0
Армении	58.0	5.0	15.0	10.0	7.0	18.0	2.0	1.0	-	-	13.0	44.0	1.0
Белоруссии	8.0	2.0	-	1.0	3.0	1.0	1.0	-	-	-	2.0	6.0	-
Грузии	63.0	8.0	5.0	16.0	21.0	11.0	2.0	-	-	-	13.0	50.0	-
Казахстана	55.0	7.0	15.0	12.0	6.0	9.0	4.0	2.0	-	-	16.0	36.0	3.0
Киргизии	13.0	-	4.0	2.0	2.0	1.0	2.0	1.0	1.0	-	1.0	9.0	3.0
Молдавии	2.0	-	-	1.0	-	-	1.0	-	-	-	-	2.0	-
Таджикистана	23.0	4.0	4.0	2.0	4.0	6.0	3.0	-	-	-	8.0	15.0	-
Туркмении	44.0	4.0	13.0	8.0	9.0	7.0	1.0	2.0	-	-	11.0	31.0	2.0
Узбекистана	87.0	10.0	18.0	18.0	18.0	10.0	7.0	4.0	2.0	-	22.0	58.0	7.0
Украины	81.0	8.0	15.0	12.0	17.0	12.0	11.0	4.0	2.0	-	16.0	57.0	8.0
других стран мира	540.0	7.0	155.0	354.0	14.0	6.0	1.0	2.0	1.0	-	11.0	526.0	3.0
Афганистана	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Германии	3.0	-	-	2.0	-	-	1.0	-	-	-	-	3.0	-
Израиля	4.0	-	1.0	1.0	-	2.0	-	-	-	-	1.0	3.0	-
Индии	450.0	-	142.0	308.0	-	-	-	-	-	-	-	450.0	-
Латвии	1.0	-	1.0	-	-	-	-	-	-	-	-	1.0	-
Литвы	2.0	-	-	-	-	-	-	1.0	1.0	-	-	-	2.0
Сирии	23.0	-	2.0	16.0	5.0	-	-	-	-	-	-	23.0	-
США	4.0	-	2.0	-	-	2.0	-	-	-	-	2.0	2.0	-
Турции	16.0	4.0	-	8.0	3.0	1.0	-	-	-	-	4.0	12.0	-
без гражданства	1259.0	245.0	346.0	175.0	174.0	164.0	64.0	57.0	32.0	2.0	486.0	669.0	102.0
гражданство не указано	237.0	49.0	56.0	51.0	21.0	28.0	16.0	9.0	6.0	1.0	75.0	142.0	19.0
Республика Ингушетия													
Все население	467294.0	104137.0	108546.0	82538.0	66534.0	52479.0	21714.0	18902.0	12134.0	310.0	171316.0	260523.0	35145.0
в том числе:													
граждане России	465800.0	103565.0	108189.0	82374.0	66417.0	52388.0	21670.0	18864.0	12116.0	217.0	170495.0	260006.0	35082.0
из них имеющие два гражданства	5.0	-	1.0	-	-	3.0	1.0	-	-	-	1.0	4.0	-
иностранные граждане	43.0	8.0	3.0	10.0	9.0	6.0	4.0	3.0	-	-	11.0	28.0	4.0
из них имеющие гражданство:													
стран СНГ	38.0	4.0	3.0	10.0	9.0	5.0	4.0	3.0	-	-	7.0	27.0	4.0
Азербайджана	5.0	3.0	-	2.0	-	-	-	-	-	-	3.0	2.0	-
Армении	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
Белоруссии	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
Грузии	19.0	1.0	2.0	6.0	6.0	1.0	1.0	2.0	-	-	3.0	13.0	3.0
Казахстана	11.0	-	1.0	2.0	3.0	3.0	1.0	1.0	-	-	1.0	9.0	1.0
Украины	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
других стран мира	5.0	4.0	-	-	-	1.0	-	-	-	-	4.0	1.0	-
США	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Турции	2.0	1.0	-	-	-	1.0	-	-	-	-	1.0	1.0	-
без гражданства	351.0	144.0	123.0	19.0	22.0	19.0	9.0	9.0	5.0	1.0	244.0	91.0	15.0
гражданство не указано	1100.0	420.0	231.0	135.0	86.0	66.0	31.0	26.0	13.0	92.0	566.0	398.0	44.0
Кабардино-Балкарская Республика													
Все население	901494.0	112971.0	172948.0	151584.0	135230.0	131659.0	70697.0	73807.0	52585.0	13.0	214154.0	546923.0	140404.0
в том числе:													
граждане России	898894.0	112645.0	172462.0	151077.0	134785.0	131282.0	70507.0	73647.0	52485.0	4.0	213515.0	545260.0	140115.0
из них имеющие два гражданства	285.0	32.0	35.0	67.0	55.0	39.0	28.0	19.0	10.0	-	51.0	198.0	36.0
иностранные граждане	1217.0	155.0	192.0	272.0	220.0	171.0	99.0	61.0	47.0	-	269.0	821.0	127.0
из них имеющие гражданство:													
стран СНГ	1059.0	141.0	173.0	201.0	194.0	157.0	90.0	58.0	45.0	-	249.0	689.0	121.0
Азербайджана	252.0	40.0	45.0	26.0	61.0	40.0	14.0	13.0	13.0	-	76.0	145.0	31.0
Армении	345.0	59.0	57.0	77.0	56.0	58.0	23.0	7.0	8.0	-	92.0	234.0	19.0
Белоруссии	10.0	-	1.0	2.0	2.0	1.0	1.0	2.0	1.0	-	-	7.0	3.0
Грузии	110.0	12.0	19.0	24.0	16.0	15.0	13.0	8.0	3.0	-	19.0	79.0	12.0
Казахстана	59.0	5.0	9.0	17.0	7.0	7.0	4.0	6.0	4.0	-	9.0	39.0	11.0
Киргизии	8.0	-	2.0	2.0	-	-	2.0	2.0	-	-	1.0	5.0	2.0
Молдавии	4.0	-	1.0	-	1.0	2.0	-	-	-	-	-	4.0	-
Таджикистана	9.0	-	3.0	-	1.0	1.0	4.0	-	-	-	-	8.0	1.0
Туркмении	2.0	-	-	-	-	1.0	-	-	1.0	-	-	1.0	1.0
Узбекистана	94.0	8.0	16.0	27.0	13.0	15.0	10.0	2.0	3.0	-	18.0	71.0	5.0
Украины	166.0	17.0	20.0	26.0	37.0	17.0	19.0	18.0	12.0	-	34.0	96.0	36.0
других стран мира	158.0	14.0	19.0	71.0	26.0	14.0	9.0	3.0	2.0	-	20.0	132.0	6.0
Афганистана	2.0	-	-	1.0	-	-	1.0	-	-	-	-	2.0	-
Болгарии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Германии	10.0	3.0	1.0	-	3.0	-	2.0	1.0	-	-	4.0	5.0	1.0
Греции	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
Израиля	4.0	-	2.0	-	1.0	1.0	-	-	-	-	2.0	2.0	-
Латвии	4.0	1.0	-	2.0	-	-	-	-	1.0	-	1.0	2.0	1.0
Литвы	3.0	-	1.0	-	1.0	1.0	-	-	-	-	1.0	2.0	-
Сирии	50.0	1.0	8.0	34.0	4.0	1.0	2.0	-	-	-	1.0	49.0	-
Турции	46.0	4.0	2.0	21.0	9.0	7.0	3.0	-	-	-	4.0	42.0	-
без гражданства	1350.0	164.0	291.0	232.0	222.0	204.0	89.0	96.0	52.0	-	361.0	831.0	158.0
гражданство не указано	33.0	7.0	3.0	3.0	3.0	2.0	2.0	3.0	1.0	9.0	9.0	11.0	4.0
Республика Калмыкия													
Все население	292410.0	36981.0	55924.0	42232.0	42850.0	51982.0	23269.0	22959.0	16184.0	29.0	72462.0	177146.0	42773.0
в том числе:													
граждане России	291093.0	36828.0	55625.0	41998.0	42620.0	51757.0	23191.0	22906.0	16149.0	19.0	72123.0	176282.0	42669.0
из них имеющие два гражданства	44.0	7.0	2.0	10.0	10.0	8.0	5.0	-	2.0	-	7.0	35.0	2.0
иностранные граждане	507.0	53.0	79.0	99.0	110.0	101.0	33.0	19.0	13.0	-	107.0	362.0	38.0
из них имеющие гражданство:													
стран СНГ	451.0	48.0	68.0	92.0	97.0	87.0	28.0	18.0	13.0	-	97.0	318.0	36.0
Азербайджана	88.0	11.0	18.0	15.0	26.0	10.0	3.0	5.0	-	-	23.0	59.0	6.0
Армении	96.0	16.0	16.0	19.0	16.0	23.0	4.0	1.0	1.0	-	29.0	64.0	3.0
Белоруссии	9.0	1.0	-	2.0	-	2.0	3.0	-	1.0	-	1.0	5.0	3.0
Грузии	17.0	-	-	5.0	6.0	2.0	2.0	-	2.0	-	-	15.0	2.0
Казахстана	34.0	4.0	2.0	7.0	6.0	8.0	2.0	4.0	1.0	-	6.0	23.0	5.0
Киргизии	7.0	-	-	1.0	3.0	-	1.0	1.0	1.0	-	-	4.0	3.0
Молдавии	3.0	-	-	2.0	-	1.0	-	-	-	-	-	3.0	-
Таджикистана	11.0	2.0	2.0	1.0	3.0	-	-	3.0	-	-	4.0	4.0	3.0
Узбекистана	94.0	3.0	14.0	29.0	14.0	21.0	8.0	3.0	2.0	-	10.0	79.0	5.0
Украины	92.0	11.0	16.0	11.0	23.0	20.0	5.0	1.0	5.0	-	24.0	62.0	6.0
других стран мира	56.0	5.0	11.0	7.0	13.0	14.0	5.0	1.0	-	-	10.0	44.0	2.0
Китая	7.0	1.0	-	-	5.0	1.0	-	-	-	-	1.0	6.0	-
Латвии	4.0	-	1.0	1.0	-	1.0	1.0	-	-	-	1.0	3.0	-
Литвы	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
США	1.0	-	-	-	-	-	-	1.0	-	-	-	-	1.0
без гражданства	739.0	84.0	211.0	125.0	117.0	111.0	41.0	30.0	20.0	-	210.0	470.0	59.0
гражданство не указано	71.0	16.0	9.0	10.0	3.0	13.0	4.0	4.0	2.0	10.0	22.0	32.0	7.0
Карачаево-Черкесская Республика													
Все население	439470.0	52750.0	80231.0	67286.0	62654.0	67625.0	34517.0	41093.0	33165.0	149.0	99991.0	258659.0	80671.0
в том числе:													
граждане России	438310.0	52620.0	80020.0	67097.0	62447.0	67449.0	34397.0	41028.0	33110.0	142.0	99734.0	257904.0	80530.0
из них имеющие два гражданства	83.0	6.0	5.0	17.0	17.0	16.0	17.0	3.0	2.0	-	10.0	65.0	8.0
иностранные граждане	701.0	85.0	120.0	122.0	142.0	109.0	60.0	38.0	25.0	-	160.0	464.0	77.0
из них имеющие гражданство:													
стран СНГ	685.0	82.0	120.0	118.0	141.0	106.0	57.0	37.0	24.0	-	157.0	456.0	72.0
Азербайджана	195.0	31.0	36.0	37.0	43.0	31.0	8.0	8.0	1.0	-	50.0	134.0	11.0
Армении	213.0	24.0	41.0	38.0	43.0	22.0	24.0	19.0	2.0	-	58.0	128.0	27.0
Белоруссии	12.0	-	1.0	3.0	2.0	3.0	-	-	3.0	-	-	9.0	3.0
Грузии	68.0	6.0	13.0	12.0	14.0	12.0	5.0	3.0	3.0	-	12.0	49.0	7.0
Казахстана	13.0	-	1.0	2.0	4.0	3.0	2.0	1.0	-	-	-	12.0	1.0
Киргизии	19.0	1.0	7.0	1.0	2.0	4.0	3.0	-	1.0	-	4.0	14.0	1.0
Молдавии	2.0	1.0	-	1.0	-	-	-	-	-	-	1.0	1.0	-
Таджикистана	11.0	3.0	-	2.0	3.0	1.0	2.0	-	-	-	3.0	7.0	1.0
Туркмении	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Узбекистана	40.0	8.0	10.0	5.0	7.0	9.0	-	1.0	-	-	15.0	24.0	1.0
Украины	111.0	8.0	11.0	17.0	23.0	20.0	13.0	5.0	14.0	-	14.0	77.0	20.0
других стран мира	16.0	3.0	-	4.0	1.0	3.0	3.0	1.0	1.0	-	3.0	8.0	5.0
Германии	1.0	-	-	-	-	-	1.0	-	-	-	-	-	1.0
Израиля	2.0	-	-	-	1.0	1.0	-	-	-	-	-	2.0	-
Латвии	2.0	-	-	1.0	-	-	-	1.0	-	-	-	1.0	1.0
Литвы	2.0	-	-	1.0	-	-	1.0	-	-	-	-	1.0	1.0
Турции	4.0	2.0	-	-	-	1.0	1.0	-	-	-	2.0	1.0	1.0
без гражданства	360.0	40.0	85.0	42.0	58.0	50.0	40.0	25.0	20.0	-	90.0	218.0	52.0
гражданство не указано	99.0	5.0	6.0	25.0	7.0	17.0	20.0	2.0	10.0	7.0	7.0	73.0	12.0
Республика Северная Осетия - Алания													
Все население	710275.0	81888.0	125181.0	110899.0	99830.0	99040.0	60882.0	73438.0	57936.0	1181.0	151720.0	412749.0	144625.0
в том числе:													
граждане России	697671.0	80882.0	123315.0	108859.0	97858.0	97363.0	59872.0	72218.0	57008.0	296.0	149512.0	405588.0	142275.0
из них имеющие два гражданства	190.0	24.0	24.0	35.0	32.0	25.0	29.0	14.0	7.0	-	43.0	120.0	27.0
иностранные граждане	3034.0	317.0	445.0	732.0	598.0	430.0	235.0	162.0	113.0	2.0	593.0	2127.0	312.0
из них имеющие гражданство:													
стран СНГ	2897.0	306.0	436.0	672.0	574.0	416.0	229.0	157.0	106.0	1.0	577.0	2019.0	300.0
Азербайджана	188.0	23.0	22.0	37.0	42.0	26.0	24.0	10.0	3.0	1.0	33.0	138.0	16.0
Армении	1075.0	158.0	192.0	228.0	213.0	167.0	81.0	28.0	8.0	-	286.0	744.0	45.0
Белоруссии	17.0	4.0	2.0	3.0	5.0	1.0	-	-	2.0	-	5.0	10.0	2.0
Грузии	1301.0	97.0	157.0	333.0	257.0	180.0	99.0	104.0	74.0	-	200.0	901.0	200.0
Казахстана	38.0	3.0	3.0	16.0	5.0	2.0	3.0	2.0	4.0	-	5.0	27.0	6.0
Киргизии	9.0	1.0	2.0	1.0	2.0	2.0	-	-	1.0	-	3.0	5.0	1.0
Молдавии	8.0	-	1.0	3.0	2.0	1.0	-	-	1.0	-	-	7.0	1.0
Таджикистана	26.0	-	9.0	4.0	8.0	2.0	2.0	1.0	-	-	4.0	21.0	1.0
Туркмении	11.0	1.0	2.0	4.0	-	3.0	1.0	-	-	-	2.0	9.0	-
Узбекистана	91.0	10.0	29.0	15.0	13.0	16.0	5.0	3.0	-	-	22.0	66.0	3.0
Украины	133.0	9.0	17.0	28.0	27.0	16.0	14.0	9.0	13.0	-	17.0	91.0	25.0
других стран мира	137.0	11.0	9.0	60.0	24.0	14.0	6.0	5.0	7.0	1.0	16.0	108.0	12.0
Афганистана	5.0	1.0	1.0	2.0	-	-	1.0	-	-	-	2.0	3.0	-
Болгарии	6.0	1.0	1.0	-	2.0	1.0	-	1.0	-	-	2.0	3.0	1.0
Вьетнама	8.0	-	-	1.0	6.0	1.0	-	-	-	-	-	8.0	-
Германии	3.0	1.0	1.0	-	1.0	-	-	-	-	-	2.0	1.0	-
Греции	32.0	5.0	5.0	4.0	3.0	5.0	3.0	3.0	4.0	-	7.0	18.0	7.0
Индии	2.0	1.0	-	1.0	-	-	-	-	-	-	1.0	1.0	-
Латвии	4.0	-	-	-	-	1.0	-	1.0	2.0	-	-	1.0	3.0
Литвы	4.0	-	-	2.0	1.0	-	-	-	1.0	-	-	3.0	1.0
Сирии	6.0	-	-	5.0	1.0	-	-	-	-	-	-	6.0	-
Турции	11.0	1.0	-	1.0	3.0	4.0	1.0	-	-	1.0	1.0	9.0	-
без гражданства	6337.0	531.0	1185.0	966.0	998.0	822.0	481.0	716.0	638.0	-	1318.0	3567.0	1452.0
гражданство не указано	3233.0	158.0	236.0	342.0	376.0	425.0	294.0	342.0	177.0	883.0	297.0	1467.0	586.0
Чеченская Республика													
Все население	1103686.0	231727.0	255115.0	189889.0	150529.0	138740.0	54732.0	47476.0	34809.0	669.0	386356.0	626132.0	90529.0
в том числе:													
граждане России	1101874.0	231115.0	254698.0	189690.0	150349.0	138578.0	54664.0	47402.0	34754.0	624.0	385447.0	625414.0	90389.0
из них имеющие два гражданства	12.0	-	1.0	1.0	1.0	6.0	3.0	-	-	-	-	12.0	-
иностранные граждане	131.0	16.0	18.0	25.0	21.0	16.0	18.0	12.0	5.0	-	28.0	85.0	18.0
из них имеющие гражданство:													
стран СНГ	122.0	12.0	17.0	24.0	21.0	15.0	17.0	11.0	5.0	-	23.0	82.0	17.0
Азербайджана	7.0	-	-	2.0	2.0	1.0	1.0	1.0	-	-	-	6.0	1.0
Грузии	1.0	-	1.0	-	-	-	-	-	-	-	1.0	-	-
Казахстана	71.0	3.0	8.0	16.0	10.0	8.0	13.0	10.0	3.0	-	7.0	51.0	13.0
Киргизии	2.0	-	-	1.0	-	1.0	-	-	-	-	-	2.0	-
Узбекистана	23.0	3.0	6.0	2.0	6.0	3.0	1.0	-	2.0	-	7.0	14.0	2.0
Украины	18.0	6.0	2.0	3.0	3.0	2.0	2.0	-	-	-	8.0	9.0	1.0
других стран мира	9.0	4.0	1.0	1.0	-	1.0	1.0	1.0	-	-	5.0	3.0	1.0
Болгарии	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
Германии	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Турции	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Эстонии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
без гражданства	709.0	243.0	177.0	63.0	76.0	65.0	25.0	32.0	27.0	1.0	381.0	260.0	67.0
гражданство не указано	972.0	353.0	222.0	111.0	83.0	81.0	25.0	30.0	23.0	44.0	500.0	373.0	55.0
Краснодарский край													
Все население	5125221.0	476021.0	805211.0	752171.0	682650.0	806435.0	545596.0	580452.0	475942.0	743.0	926764.0	3032083.0	1165631.0
в том числе:													
граждане России	5063274.0	470242.0	794595.0	740321.0	671758.0	796890.0	540633.0	576178.0	472284.0	373.0	914916.0	2991109.0	1156876.0
из них имеющие два гражданства	1665.0	122.0	160.0	317.0	400.0	271.0	154.0	143.0	98.0	-	219.0	1172.0	274.0
иностранные граждане	22232.0	1768.0	2927.0	5110.0	4631.0	3545.0	1806.0	1307.0	1134.0	4.0	3378.0	16148.0	2702.0
из них имеющие гражданство:													
стран СНГ	19656.0	1612.0	2678.0	4271.0	3920.0	3182.0	1642.0	1251.0	1097.0	3.0	3153.0	13899.0	2601.0
Азербайджана	844.0	83.0	126.0	176.0	194.0	134.0	50.0	47.0	34.0	-	168.0	588.0	88.0
Армении	6948.0	818.0	1169.0	1425.0	1431.0	1116.0	463.0	332.0	194.0	-	1613.0	4747.0	588.0
Белоруссии	596.0	36.0	48.0	105.0	124.0	85.0	71.0	67.0	60.0	-	63.0	389.0	144.0
Грузии	2762.0	148.0	363.0	607.0	576.0	466.0	276.0	189.0	137.0	-	333.0	2052.0	377.0
Казахстана	787.0	70.0	131.0	227.0	92.0	100.0	58.0	55.0	54.0	-	118.0	547.0	122.0
Киргизии	235.0	22.0	47.0	62.0	29.0	26.0	14.0	16.0	19.0	-	42.0	157.0	36.0
Молдавии	580.0	16.0	57.0	198.0	120.0	115.0	43.0	11.0	17.0	3.0	31.0	513.0	33.0
Таджикистана	199.0	12.0	39.0	73.0	40.0	20.0	10.0	2.0	3.0	-	23.0	171.0	5.0
Туркмении	194.0	12.0	79.0	39.0	20.0	21.0	7.0	11.0	5.0	-	21.0	154.0	19.0
Узбекистана	845.0	70.0	117.0	189.0	137.0	141.0	70.0	76.0	45.0	-	139.0	571.0	135.0
Украины	5666.0	325.0	502.0	1170.0	1157.0	958.0	580.0	445.0	529.0	-	602.0	4010.0	1054.0
других стран мира	2576.0	156.0	249.0	839.0	711.0	363.0	164.0	56.0	37.0	1.0	225.0	2249.0	101.0
Афганистана	158.0	29.0	24.0	46.0	42.0	12.0	4.0	1.0	-	-	47.0	110.0	1.0
Болгарии	134.0	2.0	10.0	7.0	28.0	38.0	39.0	8.0	2.0	-	6.0	117.0	11.0
Вьетнама	271.0	1.0	17.0	55.0	156.0	42.0	-	-	-	-	2.0	269.0	-
Германии	50.0	6.0	5.0	7.0	10.0	8.0	4.0	4.0	6.0	-	10.0	29.0	11.0
Греции	157.0	15.0	16.0	86.0	12.0	9.0	7.0	7.0	5.0	-	17.0	127.0	13.0
Израиля	38.0	5.0	9.0	9.0	7.0	3.0	3.0	2.0	-	-	8.0	27.0	3.0
Индии	153.0	-	17.0	123.0	11.0	1.0	-	-	-	1.0	2.0	150.0	-
Китая	49.0	-	5.0	29.0	10.0	3.0	-	-	2.0	-	-	47.0	2.0
Латвии	45.0	4.0	8.0	8.0	10.0	6.0	5.0	2.0	2.0	-	7.0	33.0	5.0
Литвы	87.0	8.0	5.0	8.0	17.0	16.0	13.0	10.0	10.0	-	11.0	53.0	23.0
