11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И  ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работаюшие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Центральный федеральный округ								
лица, неточно указавшие или не указавшие  занятия 	3565.0	3203.0	230.0	48.0	136.0	28.0	18.0	132.0
Смоленская область								
Все население, занятое в экономике 	427752.0	400382.0	26606.0	6465.0	17000.0	2081.0	1060.0	764.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	48682.0	38512.0	10098.0	4648.0	4906.0	314.0	230.0	72.0
специалисты высшего уровня квалификации	58191.0	56492.0	1616.0	161.0	1082.0	281.0	92.0	83.0
специалисты среднего уровня квалификации	49365.0	47982.0	1325.0	191.0	866.0	169.0	99.0	58.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10247.0	10038.0	200.0	16.0	147.0	23.0	14.0	9.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	52958.0	47468.0	5443.0	639.0	4317.0	294.0	193.0	47.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	8192.0	7627.0	560.0	115.0	373.0	46.0	26.0	5.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	74512.0	72004.0	2386.0	216.0	1721.0	349.0	100.0	122.0
операторы, аппаратчики, машинисты установок и машин	61885.0	58902.0	2899.0	252.0	2255.0	246.0	146.0	84.0
неквалифицированные рабочие	46478.0	45163.0	1248.0	98.0	824.0	235.0	91.0	67.0
занятые на военной службе	6272.0	6272.0						-
лица, неточно указавшие или не указавшие  занятия 	10970.0	9922.0	831.0	129.0	509.0	124.0	69.0	217.0
Тамбовская область								
Все население, занятое в экономике 	412683.0	387119.0	25143.0	5309.0	17157.0	1981.0	696.0	421.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	43578.0	35035.0	8497.0	3586.0	4530.0	252.0	129.0	46.0
специалисты высшего уровня квалификации	60089.0	58924.0	1119.0	109.0	745.0	196.0	69.0	46.0
специалисты среднего уровня квалификации	53671.0	52659.0	980.0	137.0	708.0	107.0	28.0	32.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10847.0	10702.0	145.0	8.0	114.0	12.0	11.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	51355.0	44541.0	6785.0	634.0	5642.0	395.0	114.0	29.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	10303.0	8332.0	1959.0	407.0	1322.0	157.0	73.0	12.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	58630.0	56795.0	1769.0	150.0	1346.0	212.0	61.0	66.0
операторы, аппаратчики, машинисты установок и машин	64963.0	62325.0	2561.0	161.0	1882.0	418.0	100.0	77.0
неквалифицированные рабочие	48686.0	47722.0	888.0	70.0	541.0	189.0	88.0	76.0
занятые на военной службе	3508.0	3508.0						-
