4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
  г. Борисоглебск	69392.0	31568.0	37824.0	45.5	54.5
  г. Лиски с подчиненными его администрации населенными пунктами 	56229.0	25603.0	30626.0	45.5	54.5
    Городское население - г. Лиски	55893.0	25452.0	30441.0	45.5	54.5
    Сельское население	336.0	151.0	185.0	44.9	55.1
  г. Нововоронеж	36961.0	17335.0	19626.0	46.9	53.1
  г. Острогожск с подчиненными его администрации населенными пунктами 	35746.0	17272.0	18474.0	48.3	51.7
    Городское население - г. Острогожск	34585.0	16723.0	17862.0	48.4	51.6
    Сельское население	1161.0	549.0	612.0	47.3	52.7
  г. Поворино	18342.0	8232.0	10110.0	44.9	55.1
  г. Россошь	62923.0	29149.0	33774.0	46.3	53.7
  Аннинский район 	52747.0	24183.0	28564.0	45.8	54.2
    Городское население - пгт Анна (рц)	19416.0	8937.0	10479.0	46.0	54.0
    Сельское население	33331.0	15246.0	18085.0	45.7	54.3
      с. Садовое	5081.0	2282.0	2799.0	44.9	55.1
      прочие сельские населенные пункты	28250.0	12964.0	15286.0	45.9	54.1
  Бобровский район 	54162.0	24396.0	29766.0	45.0	55.0
    Городское население - г. Бобров (рц)	20806.0	9535.0	11271.0	45.8	54.2
    Сельское население	33356.0	14861.0	18495.0	44.6	55.4
      с. Слобода	3568.0	1644.0	1924.0	46.1	53.9
      с. Хреновое	5553.0	2454.0	3099.0	44.2	55.8
      прочие сельские населенные пункты	24235.0	10763.0	13472.0	44.4	55.6
  Богучарский район 	40719.0	19441.0	21278.0	47.7	52.3
    Городское население - г. Богучар (рц)	13756.0	6703.0	7053.0	48.7	51.3
    Сельское население	26963.0	12738.0	14225.0	47.2	52.8
  Борисоглебский район - сельское население	13880.0	6463.0	7417.0	46.6	53.4
  Бутурлиновский район 	57204.0	26045.0	31159.0	45.5	54.5
    Городское население	33083.0	15160.0	17923.0	45.8	54.2
      г. Бутурлиновка (рц)	28627.0	13124.0	15503.0	45.8	54.2
      пгт Нижний Кисляй	4456.0	2036.0	2420.0	45.7	54.3
    Сельское население	24121.0	10885.0	13236.0	45.1	54.9
      с. Козловка	3390.0	1491.0	1899.0	44.0	56.0
      прочие сельские населенные пункты	20731.0	9394.0	11337.0	45.3	54.7
  Верхнемамонский район - сельское население	23086.0	10665.0	12421.0	46.2	53.8
      с. Верхний Мамон (рц)	8394.0	3919.0	4475.0	46.7	53.3
      с. Нижний Мамон	3969.0	1811.0	2158.0	45.6	54.4
      прочие сельские населенные пункты	10723.0	4935.0	5788.0	46.0	54.0
  Верхнехавский район - сельское население	26656.0	12264.0	14392.0	46.0	54.0
      с. Верхняя Хава (рц)	7980.0	3677.0	4303.0	46.1	53.9
      с. Углянец	3698.0	1690.0	2008.0	45.7	54.3
      прочие сельские населенные пункты	14978.0	6897.0	8081.0	46.0	54.0
  Воробьевский район - сельское население	21759.0	10172.0	11587.0	46.7	53.3
      с. Воробьевка (рц)	4482.0	2046.0	2436.0	45.6	54.4
      прочие сельские населенные пункты	17277.0	8126.0	9151.0	47.0	53.0
  Грибановский район 	39648.0	18230.0	21418.0	46.0	54.0
    Городское население - пгт Грибановский (рц)	17461.0	8245.0	9216.0	47.2	52.8
    Сельское население	22187.0	9985.0	12202.0	45.0	55.0
  Калачеевский район 	61794.0	28651.0	33143.0	46.4	53.6
    Городское население - г. Калач (рц)	20950.0	9614.0	11336.0	45.9	54.1
    Сельское население	40844.0	19037.0	21807.0	46.6	53.4
      с. Заброды	9038.0	4260.0	4778.0	47.1	52.9
      п. Пригородный	4031.0	1874.0	2157.0	46.5	53.5
      прочие сельские населенные пункты	27775.0	12903.0	14872.0	46.5	53.5
  Каменский район 	21953.0	10100.0	11853.0	46.0	54.0
    Городское население - пгт Каменка (рц)	9583.0	4386.0	5197.0	45.8	54.2
    Сельское население	12370.0	5714.0	6656.0	46.2	53.8
  Кантемировский район 	41808.0	19530.0	22278.0	46.7	53.3
    Городское население - пгт Кантемировка (рц)	12949.0	5963.0	6986.0	46.0	54.0
    Сельское население	28859.0	13567.0	15292.0	47.0	53.0
      с. Митрофановка	5722.0	2665.0	3057.0	46.6	53.4
      прочие сельские населенные пункты	23137.0	10902.0	12235.0	47.1	52.9
  Каширский район - сельское население	27106.0	12467.0	14639.0	46.0	54.0
      с. Каширское (рц)	4628.0	2150.0	2478.0	46.5	53.5
      п. Колодезный	5939.0	2725.0	3214.0	45.9	54.1
      прочие сельские населенные пункты	16539.0	7592.0	8947.0	45.9	54.1
  Лискинский район 	50142.0	23034.0	27108.0	45.9	54.1
    Городское население - пгт Давыдовка	5923.0	2730.0	3193.0	46.1	53.9
    Сельское население	44219.0	20304.0	23915.0	45.9	54.1
      с. Дракино	3114.0	1436.0	1678.0	46.1	53.9
      с. Средний Икорец	3319.0	1544.0	1775.0	46.5	53.5
      прочие сельские населенные пункты	37786.0	17324.0	20462.0	45.8	54.2
  Нижнедевицкий район - сельское население	24077.0	10888.0	13189.0	45.2	54.8
      с. Нижнедевицк (рц)	6409.0	2957.0	3452.0	46.1	53.9
      прочие сельские населенные пункты	17668.0	7931.0	9737.0	44.9	55.1
  Новоусманский район - сельское население	64275.0	29567.0	34708.0	46.0	54.0
      с. Новая Усмань (рц)	22476.0	10342.0	12134.0	46.0	54.0
      п. Воля	7979.0	3580.0	4399.0	44.9	55.1
      с. Орлово	4104.0	1888.0	2216.0	46.0	54.0
      с. Отрадное	3260.0	1565.0	1695.0	48.0	52.0
      п. 1-го отделения совхоза "Масловский"	3484.0	1650.0	1834.0	47.4	52.6
      прочие сельские населенные пункты	22972.0	10542.0	12430.0	45.9	54.1
  Новохоперский район 	45074.0	20541.0	24533.0	45.6	54.4
    Городское население	19584.0	8777.0	10807.0	44.8	55.2
      г. Новохоперск (рц)	7640.0	3372.0	4268.0	44.1	55.9
      пгт Елань-Коленовский	4170.0	1925.0	2245.0	46.2	53.8
      пгт Новохоперский	7774.0	3480.0	4294.0	44.8	55.2
    Сельское население	25490.0	11764.0	13726.0	46.2	53.8
      с. Елань-Колено	5344.0	2438.0	2906.0	45.6	54.4
      прочие сельские населенные пункты	20146.0	9326.0	10820.0	46.3	53.7
  Ольховатский район 	25841.0	11825.0	14016.0	45.8	54.2
    Городское население - пгт Ольховатка (рц)	4424.0	1945.0	2479.0	44.0	56.0
    Сельское население	21417.0	9880.0	11537.0	46.1	53.9
      п. Заболотовка	3354.0	1526.0	1828.0	45.5	54.5
      прочие сельские населенные пункты	18063.0	8354.0	9709.0	46.2	53.8
  Острогожский район - сельское население	27972.0	12570.0	15402.0	44.9	55.1
  Павловский район 	59355.0	27273.0	32082.0	45.9	54.1
    Городское население - г. Павловск (рц)	26365.0	12189.0	14176.0	46.2	53.8
    Сельское население	32990.0	15084.0	17906.0	45.7	54.3
      с. Воронцовка	5138.0	2370.0	2768.0	46.1	53.9
      с. Лосево	4539.0	2055.0	2484.0	45.3	54.7
      прочие сельские населенные пункты	23313.0	10659.0	12654.0	45.7	54.3
  Панинский район 	33017.0	16139.0	16878.0	48.9	51.1
    Городское население	10567.0	4860.0	5707.0	46.0	54.0
      пгт Панино (рц)	7264.0	3354.0	3910.0	46.2	53.8
      пгт Перелешинский	3303.0	1506.0	1797.0	45.6	54.4
    Сельское население	22450.0	11279.0	11171.0	50.2	49.8
      п. Перелешино	3848.0	2734.0	1114.0	71.0	29.0
      прочие сельские населенные пункты	18602.0	8545.0	10057.0	45.9	54.1
  Петропавловский район - сельское население	23414.0	10701.0	12713.0	45.7	54.3
      с. Петропавловка (рц)	5546.0	2577.0	2969.0	46.5	53.5
      прочие сельские населенные пункты	17868.0	8124.0	9744.0	45.5	54.5
  Поворинский район - сельское население	17475.0	8100.0	9375.0	46.4	53.6
      с. Пески	7331.0	3387.0	3944.0	46.2	53.8
      прочие сельские населенные пункты	10144.0	4713.0	5431.0	46.5	53.5
  Подгоренский район 	29563.0	13592.0	15971.0	46.0	54.0
    Городское население - пгт Подгоренский (рц)	6745.0	3051.0	3694.0	45.2	54.8
    Сельское население	22818.0	10541.0	12277.0	46.2	53.8
      сл. Подгорное	3880.0	1808.0	2072.0	46.6	53.4
      прочие сельские населенные пункты	18938.0	8733.0	10205.0	46.1	53.9
  Рамонский район 	33230.0	15771.0	17459.0	47.5	52.5
    Городское население - пгт Рамонь (рц)	8039.0	3645.0	4394.0	45.3	54.7
    Сельское население	25191.0	12126.0	13065.0	48.1	51.9
  Репьевский район - сельское население	17884.0	8241.0	9643.0	46.1	53.9
      с. Репьевка (рц)	5905.0	2769.0	3136.0	46.9	53.1
      прочие сельские населенные пункты	11979.0	5472.0	6507.0	45.7	54.3
  Россошанский район - сельское население	31750.0	14587.0	17163.0	45.9	54.1
  Семилукский район 	67904.0	31762.0	36142.0	46.8	53.2
    Городское население	37720.0	17996.0	19724.0	47.7	52.3
      г. Семилуки (рц)	25559.0	12511.0	13048.0	48.9	51.1
      пгт Латная	7333.0	3314.0	4019.0	45.2	54.8
      пгт Стрелица	4828.0	2171.0	2657.0	45.0	55.0
    Сельское население	30184.0	13766.0	16418.0	45.6	54.4
      с. Девица	4451.0	2028.0	2423.0	45.6	54.4
      с. Землянск	3155.0	1439.0	1716.0	45.6	54.4
      прочие сельские населенные пункты	22578.0	10299.0	12279.0	45.6	54.4
  Таловский район 	47221.0	21574.0	25647.0	45.7	54.3
    Городское население - пгт Таловая (рц)	13554.0	6247.0	7307.0	46.1	53.9
    Сельское население	33667.0	15327.0	18340.0	45.5	54.5
      п. Абрамовка	3444.0	1570.0	1874.0	45.6	54.4
      с. Верхняя Тишанка	3653.0	1597.0	2056.0	43.7	56.3
      с. Новая Чигла	3020.0	1278.0	1742.0	42.3	57.7
      прочие сельские населенные пункты	23550.0	10882.0	12668.0	46.2	53.8
  Терновский район - сельское население	25696.0	11856.0	13840.0	46.1	53.9
      с. Терновка (рц)	4769.0	2185.0	2584.0	45.8	54.2
      прочие сельские населенные пункты	20927.0	9671.0	11256.0	46.2	53.8
  Хохольский район 	32889.0	14898.0	17991.0	45.3	54.7
    Городское население - пгт Хохольский (рц)	7885.0	3579.0	4306.0	45.4	54.6
    Сельское население	25004.0	11319.0	13685.0	45.3	54.7
      с. Гремячье	3430.0	1533.0	1897.0	44.7	55.3
      с. Хохол	4944.0	2282.0	2662.0	46.2	53.8
      прочие сельские населенные пункты	16630.0	7504.0	9126.0	45.1	54.9
  Эртильский район 	31499.0	14721.0	16778.0	46.7	53.3
    Городское население - г. Эртиль (рц)	12885.0	5993.0	6892.0	46.5	53.5
    Сельское население	18614.0	8728.0	9886.0	46.9	53.1
Ивановская область	1148329.0	515004.0	633325.0	44.8	55.2
    Городское население	949249.0	421678.0	527571.0	44.4	55.6
    Сельское население	199080.0	93326.0	105754.0	46.9	53.1
  г. Иваново	431721.0	190921.0	240800.0	44.2	55.8
          городские районы					
        Ленинский 	155948.0	68671.0	87277.0	44.0	56.0
        Октябрьский 	93341.0	40801.0	52540.0	43.7	56.3
        Советский 	67002.0	29593.0	37409.0	44.2	55.8
        Фрунзенский 	115430.0	51856.0	63574.0	44.9	55.1
  г. Вичуга	40870.0	17713.0	23157.0	43.3	56.7
  г. Кинешма	95233.0	41213.0	54020.0	43.3	56.7
  г. Тейково	36686.0	17643.0	19043.0	48.1	51.9
  г. Фурманов с подчиненными его администрации населенными пунктами 	40874.0	18021.0	22853.0	44.1	55.9
    Городское население - г. Фурманов	39691.0	17443.0	22248.0	43.9	56.1
    Сельское население	1183.0	578.0	605.0	48.9	51.1
  г. Шуя	62449.0	26612.0	35837.0	42.6	57.4
  Верхнеландеховский район 	5631.0	2568.0	3063.0	45.6	54.4
    Городское население - пгт Верхний Ландех (рц)	2080.0	954.0	1126.0	45.9	54.1
    Сельское население	3551.0	1614.0	1937.0	45.5	54.5
  Вичугский район	23676.0	10631.0	13045.0	44.9	55.1
    Городское население	13238.0	5823.0	7415.0	44.0	56.0
      пгт Каменка	4269.0	1875.0	2394.0	43.9	56.1
      пгт Новописцово	3172.0	1394.0	1778.0	43.9	56.1
      пгт Старая Вичуга	5797.0	2554.0	3243.0	44.1	55.9
    Сельское население	10438.0	4808.0	5630.0	46.1	53.9
  Гаврилово-Посадский район 	20430.0	9853.0	10577.0	48.2	51.8
    Городское население	10707.0	4748.0	5959.0	44.3	55.7
      г. Гаврилов Посад (рц)	7193.0	3207.0	3986.0	44.6	55.4
      пгт Иваньковский	467.0	210.0	257.0	45.0	55.0
      пгт Петровский	3047.0	1331.0	1716.0	43.7	56.3
    Сельское население	9723.0	5105.0	4618.0	52.5	47.5
  Заволжский район 	22039.0	9798.0	12241.0	44.5	55.5
    Городское население	15275.0	6663.0	8612.0	43.6	56.4
      г. Заволжск (рц)	13455.0	5876.0	7579.0	43.7	56.3
      пгт Долматовский	438.0	203.0	235.0	46.3	53.7
      пгт Заречный	1382.0	584.0	798.0	42.3	57.7
    Сельское население	6764.0	3135.0	3629.0	46.3	53.7
  Ивановский район 	64270.0	29751.0	34519.0	46.3	53.7
    Городское население	29621.0	13836.0	15785.0	46.7	53.3
      г. Кохма	28761.0	13433.0	15328.0	46.7	53.3
      пгт Озерный	860.0	403.0	457.0	46.9	53.1
    Сельское население	34649.0	15915.0	18734.0	45.9	54.1
      с. Богородское	3104.0	1426.0	1678.0	45.9	54.1
      с. Ново-Талицы	8844.0	4112.0	4732.0	46.5	53.5
      прочие сельские населенные пункты	22701.0	10377.0	12324.0	45.7	54.3
  Ильинский район 	11103.0	5021.0	6082.0	45.2	54.8
    Городское население - пгт Ильинское-Хованское (рц)	3768.0	1719.0	2049.0	45.6	54.4
    Сельское население	7335.0	3302.0	4033.0	45.0	55.0
  Кинешемский район 	27650.0	13589.0	14061.0	49.1	50.9
    Городское население - г. Наволоки	11248.0	4917.0	6331.0	43.7	56.3
    Сельское население	16402.0	8672.0	7730.0	52.9	47.1
  Комсомольский район	22042.0	9883.0	12159.0	44.8	55.2
    Городское население	16196.0	7199.0	8997.0	44.4	55.6
      г. Комсомольск (рц)	9595.0	4299.0	5296.0	44.8	55.2
      пгт Марково	1297.0	575.0	722.0	44.3	55.7
      пгт Октябрьский	1271.0	554.0	717.0	43.6	56.4
      пгт Писцово	2873.0	1273.0	1600.0	44.3	55.7
      пгт Подозерский	1160.0	498.0	662.0	42.9	57.1
    Сельское население	5846.0	2684.0	3162.0	45.9	54.1
